,viewCount,likeCount,dislikeCount,num_days_since_pub,viewcounts_weighted,like_count_weighted,dislike_count_weighted,like_dislike_ratio,weighted_like_dislike_ratio,like_dislike_ratio_by_viewcounts_weighted,videoTitleSentimentScore_vader_pos,videoTitleSentimentScore_vader_neg,videoTitleSentimentScore_vader_com,captionSentimentScore_vader_pos,captionSentimentScore_vader_neg,captionSentimentScore_vader_com,falir_videoTitle_score,caption_list_split_by_nvidia_10words_flairscores,caption_list_split_by_nvidia_20words_flairscores,caption_list_split_by_nvidia_35words_flairscores,caption_list_split_by_nvidia_10words_vaderscores,caption_list_split_by_nvidia_20words_vaderscores,caption_list_split_by_nvidia_35words_vaderscores,Time,weekday,price,percent_change_24,percent_change_48,percent_change_72,percent_change_96,msft,amd,ndaq,intel,qualcomm,apple
1,964491.2413793104,40463.44827586207,1070.7931034482758,15.241379310344827,84589.42929077995,3723.437055042879,97.62429160744206,0.9713467505561062,0.9713467505561062,82587.97428385976,0.2774,0.2557692307692307,-0.0143470588235293,0.12228,0.04648,0.9984040000000002,-0.0425172413793103,0.0698749999999999,-0.0449999999999999,-0.159125,0.0990909090909091,0.0934347826086956,0.0967083333333333,2020-10-02 16:30:00,4.0,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
2,1045160.04,44341.74,1192.02,17.4,63909.43738914212,2967.019733876094,89.90367826463282,0.9696177546756292,0.9696177546756292,62169.3052493104,0.3196666666666666,0.3023333333333333,-0.0810076923076923,0.1219523809523809,0.0425714285714285,0.9981571428571426,0.1102,0.12585,0.0592,-0.07555,0.0995555555555555,0.0994210526315789,0.1006499999999999,2020-10-02 17:30:00,4.0,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
3,1077167.84,46144.08,1244.08,18.64,64870.46370713954,3002.939559107099,91.26838525388013,0.9675613270868214,0.9675613270868214,63097.77862236822,0.307,0.3182857142857143,-0.0040416666666666,0.1208571428571428,0.0393333333333333,0.9980380952380952,0.2698400000000001,0.16695,0.157,-0.01845,0.0961764705882353,0.0975263157894736,0.0984,2020-10-02 18:30:00,4.0,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
4,1077746.52,46178.2,1245.08,18.68,65211.20179966718,3031.48404428434,92.00586812337198,0.969667374735848,0.969667374735848,63429.33745697523,0.3196666666666667,0.333625,-0.0828166666666666,0.1211428571428571,0.042047619047619,0.9980809523809524,0.19016,0.0901499999999999,0.09275,-0.0721,0.0966666666666666,0.0984736842105263,0.098,2020-10-02 19:30:00,4.0,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
5,1080106.56,46259.16,1248.36,18.96,65479.0147389264,3024.84745614235,92.01105066305452,0.9691735433102776,0.9691735433102776,63687.15088369315,0.3196666666666667,0.3182857142857143,-0.0228,0.1189047619047619,0.0418095238095238,0.9978523809523808,0.19,0.12675,0.10105,-0.09825,0.0961764705882353,0.0958421052631579,0.09715,2020-10-02 20:30:00,4.0,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
6,1112408.24,48168.76,1280.0,20.12,66279.68724510777,3054.458216567324,92.4557173297212,0.9693507727622126,0.9693507727622126,64473.55931454927,0.3488,0.3182857142857143,-0.08367,0.1192727272727272,0.0428181818181818,0.997940909090909,0.18988,0.1025238095238095,0.0729047619047619,-0.114047619047619,0.0976666666666666,0.09645,0.0975714285714285,2020-10-02 21:30:00,4.0,522.47998046875,0.0,0.0,4.444195491940017,5.1446956606254535,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
7,1085207.52,46263.64,1263.92,19.0,75397.05130033157,3758.936899975331,102.33107436913208,0.9698124042440598,0.9698124042440598,73430.55239571541,0.335,0.3011666666666667,-0.0901,0.1330909090909091,0.0445238095238095,0.997009090909091,-0.01292,0.06665,0.0595,-0.15075,0.0934444444444444,0.0958,0.1,2020-10-03 13:30:00,5.0,522.47998046875,0.0,3.9685819862640415,7.336169522793101,7.022279094500283,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
8,1071995.92,44090.64,1170.6,52.2,68445.14802807865,3287.5049219213665,73.9732766116649,0.9693577318823348,0.9693577318823348,66870.25561425166,0.33,0.2974,0.0180999999999999,0.1311363636363636,0.0388095238095238,0.9960954545454546,0.06812,0.16715,0.16075,-0.0277,0.1067222222222222,0.1064210526315789,0.1055999999999999,2020-10-03 21:30:00,5.0,522.47998046875,0.0,4.444195491940017,5.1446956606254535,6.905531013355581,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
9,1116928.4,47546.24,1231.48,21.56,65612.44337616219,3017.3153612506358,75.71440218570558,0.9724898376159592,0.9724898376159592,63983.88478950705,0.33,0.2974,0.0180999999999999,0.1288095238095238,0.04405,0.9964714285714285,0.20712,0.0383157894736841,0.0706842105263158,-0.1025263157894736,0.0951111111111111,0.0931578947368421,0.0996842105263157,2020-10-04 13:30:00,6.0,522.47998046875,3.9685819862640415,7.336169522793101,7.022279094500283,5.594539077547633,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
10,1120037.08,47637.12,1234.96,21.8,66557.46288358039,3043.25598640778,76.51707582757798,0.9730537961795368,0.9730537961795368,64904.84694751915,0.33,0.2974,0.0180999999999999,0.1291363636363636,0.0437619047619047,0.9966090909090908,0.12724,0.02735,0.06375,-0.11155,0.0935263157894736,0.0935,0.0996,2020-10-04 21:30:00,6.0,522.47998046875,4.444195491940017,5.1446956606254535,6.905531013355581,5.992573635166565,206.17999267578125,81.83999633789062,123.52999877929688,51.0099983215332,115.47000122070312,113.0199966430664
